Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,Include
138.2492,s,3.51e-09,6.16e-10,6.16e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
139.17,s,3.78e-09,6.85e-10,6.85e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
139.9139,s,4.22e-09,7.4e-10,7.4e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
140.7152,s,4.3e-09,7.49e-10,7.49e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
141.6618,s,3.43e-09,5.93e-10,5.93e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
142.405,s,3.74e-09,6.61e-10,6.61e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
143.368,s,3.11e-09,5.39e-10,5.39e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
144.4481,s,3.67e-09,6.17e-10,6.17e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
145.396,s,3.08e-09,5.41e-10,5.41e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
146.2876,s,4.11e-09,7.31e-10,7.31e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
147.286,s,2.73e-09,4.74e-10,4.74e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
148.285,s,4.43e-09,7.74e-10,7.74e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
149.0614,s,4.29e-09,7.41e-10,7.41e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
149.8701,s,4.1e-09,7.09e-10,7.09e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
150.689,s,3.78e-09,6.59e-10,6.59e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
151.77,s,2.75e-09,4.76e-10,4.76e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
152.809,s,3.26e-09,5.66e-10,5.66e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
153.7437,s,3.88e-09,6.81e-10,6.81e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
154.805,s,2.99e-09,5.29e-10,5.29e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
155.7701,s,4.02e-09,6.95e-10,6.95e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
156.855,s,2.78e-09,4.88e-10,4.88e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
157.917,s,3.45e-09,6.05e-10,6.05e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
159.054,s,3.08e-09,5.7e-10,5.7e-10,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,,slop_other,0
